shipment_id,current_location,destination,status,delay_risk,eta
SHP-1362,Bangalore Facility,Delhi Central,Delivered,85.8,2026-08-17
SHP-1363,Hyderabad Station,Hyderabad Station,Delivered,19.0,2026-08-20
SHP-1364,Chennai Port,Delhi Central,Delivered,34.3,2026-08-20
SHP-1365,Pune DC,Hyderabad Station,In Transit,95.3,2026-08-12
SHP-1366,Pune DC,Delhi Central,In Transit,31.5,2026-08-19
SHP-1367,Pune DC,Chennai Port,In Transit,99.2,2026-08-23
SHP-1368,Chennai Port,Bangalore Facility,In Transit,49.5,2026-08-13
SHP-1369,Delhi Central,Mumbai Hub,Delivered,41.2,2026-08-15
SHP-1370,Hyderabad Station,Delhi Central,In Transit,33.6,2026-08-14
SHP-1371,Hyderabad Station,Hyderabad Station,In Transit,34.7,2026-08-16
SHP-1372,Pune DC,Mumbai Hub,In Transit,90.7,2026-08-11
SHP-1373,Chennai Port,Mumbai Hub,Delivered,0.7,2026-08-21
SHP-1374,Bangalore Facility,Chennai Port,Delayed,60.4,2026-08-18
SHP-1375,Pune DC,Mumbai Hub,In Transit,59.9,2026-08-19
SHP-1376,Pune DC,Pune DC,In Transit,51.9,2026-08-13
SHP-1377,Hyderabad Station,Chennai Port,In Transit,37.9,2026-08-16
SHP-1378,Bangalore Facility,Mumbai Hub,In Transit,67.0,2026-08-18
SHP-1379,Hyderabad Station,Delhi Central,In Transit,57.0,2026-08-14
SHP-1380,Mumbai Hub,Bangalore Facility,In Transit,99.9,2026-08-13
SHP-1381,Delhi Central,Mumbai Hub,In Transit,33.8,2026-08-16
SHP-1382,Mumbai Hub,Pune DC,Delivered,96.5,2026-08-14
SHP-1383,Chennai Port,Chennai Port,Pending,47.5,2026-08-14
SHP-1384,Chennai Port,Mumbai Hub,Delayed,97.5,2026-08-11
SHP-1385,Chennai Port,Hyderabad Station,In Transit,89.0,2026-08-14
SHP-1386,Bangalore Facility,Pune DC,Delivered,0.2,2026-08-18
SHP-1387,Mumbai Hub,Mumbai Hub,Pending,13.5,2026-08-14
SHP-1388,Pune DC,Mumbai Hub,In Transit,88.2,2026-08-15
SHP-1389,Mumbai Hub,Pune DC,Pending,68.8,2026-08-12
SHP-1390,Hyderabad Station,Chennai Port,Pending,97.5,2026-08-17
SHP-1391,Pune DC,Mumbai Hub,In Transit,78.4,2026-08-11
SHP-1392,Pune DC,Bangalore Facility,In Transit,89.9,2026-08-15
SHP-1393,Delhi Central,Bangalore Facility,In Transit,96.3,2026-08-13
SHP-1394,Delhi Central,Delhi Central,Pending,90.2,2026-08-16
SHP-1395,Pune DC,Delhi Central,Delivered,86.6,2026-08-18
SHP-1396,Bangalore Facility,Pune DC,In Transit,29.0,2026-08-23
SHP-1397,Mumbai Hub,Chennai Port,Delivered,65.0,2026-08-20
SHP-1398,Pune DC,Chennai Port,Delayed,26.2,2026-08-20
SHP-1399,Bangalore Facility,Chennai Port,Delivered,17.7,2026-08-17
SHP-1400,Pune DC,Hyderabad Station,In Transit,67.2,2026-08-12
SHP-1401,Bangalore Facility,Chennai Port,In Transit,93.1,2026-08-18
SHP-1402,Pune DC,Chennai Port,In Transit,19.2,2026-08-13
SHP-1403,Pune DC,Delhi Central,In Transit,12.4,2026-08-14
SHP-1404,Delhi Central,Hyderabad Station,Delayed,60.8,2026-08-19
SHP-1405,Chennai Port,Delhi Central,Delivered,78.8,2026-08-17
SHP-1406,Pune DC,Mumbai Hub,Delivered,9.4,2026-08-11
SHP-1407,Delhi Central,Chennai Port,In Transit,78.1,2026-08-12
SHP-1408,Mumbai Hub,Mumbai Hub,In Transit,8.5,2026-08-12
SHP-1409,Mumbai Hub,Hyderabad Station,In Transit,95.4,2026-08-19
SHP-1410,Pune DC,Hyderabad Station,Delivered,94.2,2026-08-20
SHP-1411,Delhi Central,Hyderabad Station,Delivered,16.5,2026-08-13
SHP-1412,Hyderabad Station,Chennai Port,Delivered,33.6,2026-08-21
SHP-1413,Chennai Port,Pune DC,Delivered,19.4,2026-08-13
SHP-1414,Mumbai Hub,Delhi Central,In Transit,34.0,2026-08-17
SHP-1415,Pune DC,Hyderabad Station,In Transit,98.4,2026-08-16
SHP-1416,Delhi Central,Chennai Port,In Transit,21.4,2026-08-15
SHP-1417,Chennai Port,Delhi Central,In Transit,7.2,2026-08-14
SHP-1418,Delhi Central,Chennai Port,Delivered,63.3,2026-08-13
SHP-1419,Pune DC,Pune DC,In Transit,98.5,2026-08-14
SHP-1420,Mumbai Hub,Hyderabad Station,Delivered,31.4,2026-08-13
SHP-1421,Bangalore Facility,Chennai Port,Delivered,10.7,2026-08-21
SHP-1422,Delhi Central,Mumbai Hub,Delivered,89.0,2026-08-21
SHP-1423,Bangalore Facility,Mumbai Hub,Delayed,79.4,2026-08-16
SHP-1424,Bangalore Facility,Pune DC,Pending,76.0,2026-08-11
SHP-1425,Pune DC,Chennai Port,Delayed,45.4,2026-08-18
SHP-1426,Hyderabad Station,Bangalore Facility,In Transit,28.3,2026-08-20
SHP-1427,Pune DC,Pune DC,In Transit,28.2,2026-08-19
SHP-1428,Hyderabad Station,Hyderabad Station,In Transit,16.7,2026-08-14
SHP-1429,Hyderabad Station,Chennai Port,Delivered,92.4,2026-08-17
SHP-1430,Delhi Central,Pune DC,Delivered,19.7,2026-08-20
SHP-1431,Pune DC,Delhi Central,Delivered,72.0,2026-08-17
SHP-1432,Chennai Port,Delhi Central,Delivered,78.9,2026-08-21
SHP-1433,Hyderabad Station,Mumbai Hub,In Transit,45.8,2026-08-16
SHP-1434,Mumbai Hub,Chennai Port,Delivered,0.9,2026-08-17
SHP-1435,Pune DC,Pune DC,In Transit,78.8,2026-08-14
SHP-1436,Mumbai Hub,Bangalore Facility,Delivered,69.5,2026-08-19
SHP-1437,Bangalore Facility,Mumbai Hub,Delivered,43.7,2026-08-14
SHP-1438,Mumbai Hub,Delhi Central,Delivered,80.3,2026-08-14
SHP-1439,Bangalore Facility,Pune DC,In Transit,79.3,2026-08-14
SHP-1440,Hyderabad Station,Bangalore Facility,Pending,67.1,2026-08-20
SHP-1441,Bangalore Facility,Hyderabad Station,Delivered,82.9,2026-08-22
SHP-1442,Bangalore Facility,Chennai Port,In Transit,12.6,2026-08-23
SHP-1443,Mumbai Hub,Delhi Central,In Transit,75.7,2026-08-20
SHP-1444,Pune DC,Delhi Central,In Transit,27.1,2026-08-22
SHP-1445,Hyderabad Station,Mumbai Hub,In Transit,13.0,2026-08-16
SHP-1446,Pune DC,Delhi Central,In Transit,90.4,2026-08-16
SHP-1447,Pune DC,Delhi Central,In Transit,42.2,2026-08-23
SHP-1448,Hyderabad Station,Chennai Port,Delivered,53.5,2026-08-16
SHP-1449,Pune DC,Hyderabad Station,Delivered,68.2,2026-08-15
SHP-1450,Mumbai Hub,Pune DC,In Transit,48.0,2026-08-18
SHP-1451,Bangalore Facility,Mumbai Hub,Delivered,85.7,2026-08-13
SHP-1452,Chennai Port,Pune DC,In Transit,30.3,2026-08-14
SHP-1453,Bangalore Facility,Mumbai Hub,Pending,39.0,2026-08-20
SHP-1454,Pune DC,Hyderabad Station,Delivered,50.6,2026-08-20
SHP-1455,Pune DC,Pune DC,Pending,8.8,2026-08-13
SHP-1456,Bangalore Facility,Pune DC,Delivered,51.9,2026-08-19
SHP-1457,Hyderabad Station,Pune DC,Pending,52.2,2026-08-20
SHP-1458,Pune DC,Hyderabad Station,Delivered,40.4,2026-08-23
SHP-1459,Mumbai Hub,Delhi Central,In Transit,4.6,2026-08-11
SHP-1460,Delhi Central,Mumbai Hub,Pending,69.2,2026-08-23
SHP-1461,Delhi Central,Hyderabad Station,In Transit,0.8,2026-08-20
SHP-1462,Mumbai Hub,Hyderabad Station,In Transit,16.7,2026-08-20
SHP-1463,Hyderabad Station,Pune DC,Delayed,64.0,2026-08-19
SHP-1464,Hyderabad Station,Pune DC,In Transit,3.8,2026-08-21
SHP-1465,Bangalore Facility,Delhi Central,In Transit,83.3,2026-08-22
SHP-1466,Pune DC,Bangalore Facility,In Transit,64.8,2026-08-14
SHP-1467,Bangalore Facility,Mumbai Hub,Delivered,65.7,2026-08-22
SHP-1468,Delhi Central,Pune DC,In Transit,48.9,2026-08-21
SHP-1469,Delhi Central,Hyderabad Station,Pending,7.6,2026-08-18
SHP-1470,Bangalore Facility,Chennai Port,Pending,35.7,2026-08-23
SHP-1471,Pune DC,Hyderabad Station,In Transit,11.3,2026-08-15
SHP-1472,Chennai Port,Hyderabad Station,Pending,83.3,2026-08-11
SHP-1473,Bangalore Facility,Bangalore Facility,In Transit,64.2,2026-08-15
SHP-1474,Bangalore Facility,Bangalore Facility,In Transit,77.8,2026-08-12
SHP-1475,Delhi Central,Chennai Port,Delivered,29.9,2026-08-19
SHP-1476,Chennai Port,Delhi Central,Delivered,86.4,2026-08-23
SHP-1477,Bangalore Facility,Bangalore Facility,In Transit,11.7,2026-08-12
SHP-1478,Delhi Central,Hyderabad Station,In Transit,23.7,2026-08-16
SHP-1479,Delhi Central,Pune DC,Delayed,78.1,2026-08-19
SHP-1480,Chennai Port,Chennai Port,In Transit,61.8,2026-08-11
SHP-1481,Chennai Port,Mumbai Hub,Delivered,20.7,2026-08-23
SHP-1482,Mumbai Hub,Pune DC,Pending,15.9,2026-08-20
SHP-1483,Pune DC,Mumbai Hub,Delivered,5.1,2026-08-11
SHP-1484,Mumbai Hub,Delhi Central,Delayed,28.6,2026-08-12
SHP-1485,Pune DC,Pune DC,Delivered,89.0,2026-08-11
SHP-1486,Delhi Central,Bangalore Facility,Delivered,86.3,2026-08-15
SHP-1487,Hyderabad Station,Chennai Port,In Transit,96.1,2026-08-22
SHP-1488,Hyderabad Station,Delhi Central,Delayed,95.2,2026-08-13
SHP-1489,Chennai Port,Pune DC,Delivered,50.1,2026-08-14
SHP-1490,Mumbai Hub,Hyderabad Station,Delivered,29.1,2026-08-23
SHP-1491,Delhi Central,Delhi Central,Delayed,42.4,2026-08-20
SHP-1492,Mumbai Hub,Delhi Central,Delayed,35.4,2026-08-12
SHP-1493,Mumbai Hub,Hyderabad Station,In Transit,93.2,2026-08-22
SHP-1494,Mumbai Hub,Pune DC,In Transit,18.2,2026-08-19
SHP-1495,Hyderabad Station,Chennai Port,Delivered,91.1,2026-08-14
SHP-1496,Mumbai Hub,Delhi Central,In Transit,91.2,2026-08-15
SHP-1497,Delhi Central,Pune DC,In Transit,43.9,2026-08-22
SHP-1498,Mumbai Hub,Delhi Central,In Transit,96.8,2026-08-16
SHP-1499,Pune DC,Pune DC,In Transit,81.1,2026-08-11
SHP-1500,Chennai Port,Hyderabad Station,In Transit,13.2,2026-08-15
SHP-1501,Pune DC,Delhi Central,In Transit,76.2,2026-08-17
SHP-1502,Mumbai Hub,Bangalore Facility,Delivered,27.1,2026-08-16
SHP-1503,Delhi Central,Delhi Central,Delivered,72.2,2026-08-13
SHP-1504,Chennai Port,Hyderabad Station,In Transit,66.7,2026-08-12
SHP-1505,Mumbai Hub,Bangalore Facility,In Transit,4.2,2026-08-23
SHP-1506,Hyderabad Station,Hyderabad Station,Pending,67.3,2026-08-11
SHP-1507,Pune DC,Mumbai Hub,In Transit,15.0,2026-08-15
SHP-1508,Mumbai Hub,Delhi Central,In Transit,97.8,2026-08-18
SHP-1509,Delhi Central,Delhi Central,Delivered,82.7,2026-08-15
SHP-1510,Chennai Port,Chennai Port,Delivered,34.9,2026-08-21
SHP-1511,Pune DC,Bangalore Facility,Delivered,55.3,2026-08-20
SHP-1512,Hyderabad Station,Chennai Port,In Transit,35.7,2026-08-11
SHP-1513,Chennai Port,Pune DC,Delivered,43.7,2026-08-23
SHP-1514,Delhi Central,Delhi Central,In Transit,25.4,2026-08-12
SHP-1515,Bangalore Facility,Mumbai Hub,Delivered,22.9,2026-08-13
SHP-1516,Pune DC,Hyderabad Station,Delivered,93.6,2026-08-18
SHP-1517,Chennai Port,Delhi Central,Pending,96.5,2026-08-23
SHP-1518,Chennai Port,Mumbai Hub,Delayed,23.2,2026-08-19
SHP-1519,Pune DC,Pune DC,Delivered,8.8,2026-08-11
SHP-1520,Delhi Central,Bangalore Facility,Delayed,76.2,2026-08-17
SHP-1521,Bangalore Facility,Chennai Port,Delivered,55.8,2026-08-11
SHP-1522,Hyderabad Station,Pune DC,Delivered,9.6,2026-08-15
SHP-1523,Delhi Central,Bangalore Facility,Delivered,65.3,2026-08-15
SHP-1524,Delhi Central,Pune DC,In Transit,53.2,2026-08-17
SHP-1525,Chennai Port,Chennai Port,In Transit,9.6,2026-08-15
SHP-1526,Hyderabad Station,Delhi Central,In Transit,71.7,2026-08-20
SHP-1527,Chennai Port,Hyderabad Station,Pending,16.3,2026-08-13
SHP-1528,Chennai Port,Pune DC,In Transit,86.4,2026-08-17
SHP-1529,Mumbai Hub,Delhi Central,In Transit,99.8,2026-08-15
SHP-1530,Delhi Central,Mumbai Hub,Delivered,11.6,2026-08-14
SHP-1531,Mumbai Hub,Mumbai Hub,Delivered,55.4,2026-08-23
SHP-1532,Pune DC,Delhi Central,Delivered,7.5,2026-08-23
SHP-1533,Chennai Port,Hyderabad Station,Delayed,11.2,2026-08-22
SHP-1534,Mumbai Hub,Hyderabad Station,In Transit,52.9,2026-08-11
SHP-1535,Mumbai Hub,Bangalore Facility,In Transit,88.5,2026-08-13
SHP-1536,Pune DC,Hyderabad Station,Delivered,29.9,2026-08-13
SHP-1537,Bangalore Facility,Hyderabad Station,Delivered,7.7,2026-08-14
SHP-1538,Pune DC,Mumbai Hub,Pending,93.5,2026-08-14
SHP-1539,Mumbai Hub,Delhi Central,In Transit,8.9,2026-08-16
SHP-1540,Pune DC,Bangalore Facility,Delivered,43.6,2026-08-16
SHP-1541,Hyderabad Station,Chennai Port,In Transit,25.3,2026-08-22
SHP-1542,Delhi Central,Mumbai Hub,In Transit,98.3,2026-08-23
SHP-1543,Chennai Port,Hyderabad Station,Delivered,33.2,2026-08-20
SHP-1544,Delhi Central,Chennai Port,In Transit,41.8,2026-08-13
SHP-1545,Mumbai Hub,Mumbai Hub,In Transit,36.3,2026-08-17
SHP-1546,Pune DC,Mumbai Hub,Delivered,76.6,2026-08-17
SHP-1547,Bangalore Facility,Pune DC,In Transit,91.6,2026-08-20
SHP-1548,Delhi Central,Hyderabad Station,Delivered,93.8,2026-08-21
SHP-1549,Delhi Central,Delhi Central,Delivered,41.7,2026-08-16
